,,,,review,url
0,Dongducheon Station,파라다이스노래방,노래방,[],https://store.naver.com/restaurants/detail?entry=ple&id=37482043&query=%ED%8C%8C%EB%9D%BC%EB%8B%A4%EC%9D%B4%EC%8A%A4%EB%85%B8%EB%9E%98%EB%B0%A9
1,Dongducheon Station,caesarspalace노래방,노래방,[],https://store.naver.com/restaurants/detail?entry=ple&id=37477727&query=caesarspalace%EB%85%B8%EB%9E%98%EB%B0%A9
2,Bosan Station,파라다이스노래방,노래방,[],https://store.naver.com/restaurants/detail?entry=ple&id=37482043&query=%ED%8C%8C%EB%9D%BC%EB%8B%A4%EC%9D%B4%EC%8A%A4%EB%85%B8%EB%9E%98%EB%B0%A9
3,Bosan Station,대하노래장,노래방,[],https://store.naver.com/restaurants/detail?entry=ple&id=38480670&query=%EB%8C%80%ED%95%98%EB%85%B8%EB%9E%98%EC%9E%A5
4,Dongducheon Central Station,홍길동전노래연습장,노래방,8,https://store.naver.com/restaurants/detail?entry=ple&id=291982889&query=%ED%99%8D%EA%B8%B8%EB%8F%99%EC%A0%84%EB%85%B8%EB%9E%98%EC%97%B0%EC%8A%B5%EC%9E%A5
5,Dongducheon Central Station,락휴 코인노래연습장 경기 지행점,노래방,6,https://store.naver.com/restaurants/detail?entry=ple&id=38724115&query=%EB%9D%BD%ED%9C%B4%20%EC%BD%94%EC%9D%B8%EB%85%B8%EB%9E%98%EC%97%B0%EC%8A%B5%EC%9E%A5%20%EA%B2%BD%EA%B8%B0%20%EC%A7%80%ED%96%89%EC%A0%90
6,Dongducheon Central Station,민트아일랜드노래방,노래방,2,https://store.naver.com/restaurants/detail?entry=ple&id=11875546&query=%EB%AF%BC%ED%8A%B8%EC%95%84%EC%9D%BC%EB%9E%9C%EB%93%9C%EB%85%B8%EB%9E%98%EB%B0%A9
7,Dongducheon Central Station,애플노래연습장,노래방,2,https://store.naver.com/restaurants/detail?entry=ple&id=1445161634&query=%EC%95%A0%ED%94%8C%EB%85%B8%EB%9E%98%EC%97%B0%EC%8A%B5%EC%9E%A5
8,Dongducheon Central Station,나이아가라노래방,노래방,1,https://store.naver.com/restaurants/detail?entry=ple&id=12048326&query=%EB%82%98%EC%9D%B4%EC%95%84%EA%B0%80%EB%9D%BC%EB%85%B8%EB%9E%98%EB%B0%A9
9,Dongducheon Central Station,터미널 오락실,오락실,1,https://store.naver.com/restaurants/detail?entry=ple&id=238762669&query=%ED%84%B0%EB%AF%B8%EB%84%90%20%EC%98%A4%EB%9D%BD%EC%8B%A4
10,Dongducheon Central Station,빨대노래방,노래방,[],https://store.naver.com/restaurants/detail?entry=ple&id=18006896&query=%EB%B9%A8%EB%8C%80%EB%85%B8%EB%9E%98%EB%B0%A9
11,Dongducheon Central Station,007노래연습장,노래방,[],https://store.naver.com/restaurants/detail?entry=ple&id=1793236543&query=007%EB%85%B8%EB%9E%98%EC%97%B0%EC%8A%B5%EC%9E%A5
12,Dongducheon Central Station,리가25시노래연습장,노래방,[],https://store.naver.com/restaurants/detail?entry=ple&id=1202039879&query=%EB%A6%AC%EA%B0%8025%EC%8B%9C%EB%85%B8%EB%9E%98%EC%97%B0%EC%8A%B5%EC%9E%A5
13,Dongducheon Central Station,노래상자,노래방,[],https://store.naver.com/restaurants/detail?entry=ple&id=33385687&query=%EB%85%B8%EB%9E%98%EC%83%81%EC%9E%90
14,Dongducheon Central Station,데블죤노래방,노래방,[],https://store.naver.com/restaurants/detail?entry=ple&id=37477724&query=%EB%8D%B0%EB%B8%94%EC%A3%A4%EB%85%B8%EB%9E%98%EB%B0%A9
15,Dongducheon Central Station,짱노래장,노래방,[],https://store.naver.com/restaurants/detail?entry=ple&id=425218570&query=%EC%A7%B1%EB%85%B8%EB%9E%98%EC%9E%A5
16,Dongducheon Central Station,즐거운노래방,노래방,[],https://store.naver.com/restaurants/detail?entry=ple&id=37477720&query=%EC%A6%90%EA%B1%B0%EC%9A%B4%EB%85%B8%EB%9E%98%EB%B0%A9
17,Dongducheon Central Station,태양노래방,노래방,[],https://store.naver.com/restaurants/detail?entry=ple&id=1666205286&query=%ED%83%9C%EC%96%91%EB%85%B8%EB%9E%98%EB%B0%A9
18,Dongducheon Central Station,으뜸노래방,노래방,[],https://store.naver.com/restaurants/detail?entry=ple&id=18985520&query=%EC%9C%BC%EB%9C%B8%EB%85%B8%EB%9E%98%EB%B0%A9
19,Dongducheon Central Station,명품노래연습장,노래방,[],https://store.naver.com/restaurants/detail?entry=ple&id=37477723&query=%EB%AA%85%ED%92%88%EB%85%B8%EB%9E%98%EC%97%B0%EC%8A%B5%EC%9E%A5
20,Dongducheon Central Station,초콜릿노래방,노래방,[],https://store.naver.com/restaurants/detail?entry=ple&id=13457893&query=%EC%B4%88%EC%BD%9C%EB%A6%BF%EB%85%B8%EB%9E%98%EB%B0%A9
21,Dongducheon Central Station,게코뮤직타운노래방,노래방,[],https://store.naver.com/restaurants/detail?entry=ple&id=37480682&query=%EA%B2%8C%EC%BD%94%EB%AE%A4%EC%A7%81%ED%83%80%EC%9A%B4%EB%85%B8%EB%9E%98%EB%B0%A9
22,Dongducheon Central Station,주주노래방,노래방,[],https://store.naver.com/restaurants/detail?entry=ple&id=1116734164&query=%EC%A3%BC%EC%A3%BC%EB%85%B8%EB%9E%98%EB%B0%A9
23,Dongducheon Central Station,자기야노래장,노래방,[],https://store.naver.com/restaurants/detail?entry=ple&id=1904938154&query=%EC%9E%90%EA%B8%B0%EC%95%BC%EB%85%B8%EB%9E%98%EC%9E%A5
24,Dongducheon Central Station,세컨드노래장,노래방,[],https://store.naver.com/restaurants/detail?entry=ple&id=1191419849&query=%EC%84%B8%EC%BB%A8%EB%93%9C%EB%85%B8%EB%9E%98%EC%9E%A5
25,Dongducheon Central Station,규수노래방,노래방,[],https://store.naver.com/restaurants/detail?entry=ple&id=18019768&query=%EA%B7%9C%EC%88%98%EB%85%B8%EB%9E%98%EB%B0%A9
26,Dongducheon Central Station,앵콜노래방,노래방,[],https://store.naver.com/restaurants/detail?entry=ple&id=37480936&query=%EC%95%B5%EC%BD%9C%EB%85%B8%EB%9E%98%EB%B0%A9
27,Dongducheon Central Station,도토리노래방 지행점,노래방,[],https://store.naver.com/restaurants/detail?entry=ple&id=11600626&query=%EB%8F%84%ED%86%A0%EB%A6%AC%EB%85%B8%EB%9E%98%EB%B0%A9%20%EC%A7%80%ED%96%89%EC%A0%90
28,Dongducheon Central Station,텐프로 노래장,노래방,[],https://store.naver.com/restaurants/detail?entry=ple&id=1216495183&query=%ED%85%90%ED%94%84%EB%A1%9C%20%EB%85%B8%EB%9E%98%EC%9E%A5
29,Dongducheon Central Station,열정노래연습장,노래방,[],https://store.naver.com/restaurants/detail?entry=ple&id=1161383513&query=%EC%97%B4%EC%A0%95%EB%85%B8%EB%9E%98%EC%97%B0%EC%8A%B5%EC%9E%A5
30,Dongducheon Central Station,도쿄노래장,노래방,[],https://store.naver.com/restaurants/detail?entry=ple&id=1964294908&query=%EB%8F%84%EC%BF%84%EB%85%B8%EB%9E%98%EC%9E%A5
31,Dongducheon Central Station,아지트코인노래방,노래방,[],https://store.naver.com/restaurants/detail?entry=ple&id=38548317&query=%EC%95%84%EC%A7%80%ED%8A%B8%EC%BD%94%EC%9D%B8%EB%85%B8%EB%9E%98%EB%B0%A9
32,Dongducheon Central Station,대하노래장,노래방,[],https://store.naver.com/restaurants/detail?entry=ple&id=38480670&query=%EB%8C%80%ED%95%98%EB%85%B8%EB%9E%98%EC%9E%A5
